2025-03-09 12:55:44,276 [INFO] - Initializing PostgresDBBot...
2025-03-09 12:55:44,368 [INFO] - Connected to Postgres @ localhost:5434/Quant_Trading
2025-03-09 12:55:44,369 [INFO] - Tables verified/created successfully.
2025-03-09 12:55:44,374 [INFO] - DB Bot running, listening to Redis Pub/Sub...
2025-03-09 16:24:01,002 [INFO] - Kline data inserted for UNIUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:01,104 [INFO] - Kline data inserted for DOGEUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:01,206 [INFO] - Kline data inserted for TRXUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:01,308 [INFO] - Kline data inserted for ADAUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:01,410 [INFO] - Kline data inserted for LTCUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:01,512 [INFO] - Kline data inserted for ALGOUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:01,614 [INFO] - Kline data inserted for DOTUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:59,877 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:24:00
2025-03-09 16:24:59,980 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 05:20:00
2025-03-09 16:25:00,082 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:24:00
2025-03-09 16:25:00,184 [INFO] - Kline data inserted for ETHUSDT, interval=5, time=2025-03-09 05:20:00
2025-03-09 16:25:00,286 [INFO] - Kline data inserted for ATOMUSDT, interval=5, time=2025-03-09 05:20:00
2025-03-09 16:25:00,389 [INFO] - Kline data inserted for ATOMUSDT, interval=1, time=2025-03-09 05:24:00
2025-03-09 16:25:00,491 [INFO] - Kline data inserted for XRPUSDT, interval=1, time=2025-03-09 05:24:00
2025-03-09 16:25:00,593 [INFO] - Kline data inserted for XRPUSDT, interval=5, time=2025-03-09 05:20:00
2025-03-09 16:25:00,695 [INFO] - Kline data inserted for BNBUSDT, interval=1, time=2025-03-09 05:24:00
2025-03-09 16:25:00,800 [INFO] - Kline data inserted for BNBUSDT, interval=5, time=2025-03-09 05:20:00
2025-03-09 16:25:00,902 [INFO] - Kline data inserted for AVAXUSDT, interval=5, time=2025-03-09 05:20:00
2025-03-09 16:25:01,004 [INFO] - Kline data inserted for AVAXUSDT, interval=1, time=2025-03-09 05:24:00
2025-03-09 16:25:01,107 [INFO] - Kline data inserted for SOLUSDT, interval=5, time=2025-03-09 05:20:00
